ESC,Thrust
1100,21
1150,84
1200,128
1250,168
1300,183
1350,228
1400,257
1450,292
1500,332
1550,369
1600,405
1650,445
1700,490
1750,510
1800,579
1850,655
1900,690
1950,690
2000,690
