ESC,Thrust
1000,0
1050,0
1100,0
1150,25
1200,63
1250,96
1300,128
1350,180
1400,222
1450,260
1500,296
1550,332
1600,390
1650,450
1700,515
1750,577
1800,632
1850,680
1900,660
1950,662
2000,664

