ESC,Thrust
1100,34
1150,44
1200,62
1250,86
1300,114
1350,130
1400,147
1450,172
1500,196
1550,219
1600,253
1650,270
1700,285
1750,290
1800,315
1850,332
1900,365
1950,404
2000,444
