ESC,Thrust
1000,0
1050,10
1100,38
1150,73
1200,108
1250,147
1300,182
1350,217
1400,251
1450,286
1500,319
1550,366
1600,418
1650,484
1700,523
1750,592
1800,645
1850,685
1900,680
1950,670
2000,670

