ESC,Thrust
1000,0
1050,0
1100,29
1150,65
1200,102
1250,141
1300,177
1350,212
1400,247
1450,286
1500,333
1550,369
1600,420
1650,479
1700,530
1750,596
1800,650
1850,678
1900,664
1950,660
2000,660

