ESC,Thrust
1100,5
1150,26
1200,36
1250,86
1300,114
1350,136
1400,167
1450,200
1500,233
1550,257
1600,271
1650,307
1700,333
1750,378
1800,406
1850,427
1900,435
1950,435
2000,435
